REGION,STORAGE,YEAR,VALUE
GLOBAL,SDSBTNXX01,2021,67291.66666666667
GLOBAL,SDSBTNXX01,2022,67291.66666666667
GLOBAL,SDSBTNXX01,2023,67291.66666666667
GLOBAL,SDSBTNXX01,2024,67291.66666666667
GLOBAL,SDSBTNXX01,2025,67291.66666666667
GLOBAL,SDSBTNXX01,2026,67291.66666666667
GLOBAL,SDSBTNXX01,2027,67291.66666666667
GLOBAL,SDSBTNXX01,2028,67291.66666666667
GLOBAL,SDSBTNXX01,2029,67291.66666666667
GLOBAL,SDSBTNXX01,2030,67291.66666666667
GLOBAL,SDSBTNXX01,2031,67291.66666666667
GLOBAL,SDSBTNXX01,2032,67291.66666666667
GLOBAL,SDSBTNXX01,2033,67291.66666666667
GLOBAL,SDSBTNXX01,2034,67291.66666666667
GLOBAL,SDSBTNXX01,2035,67291.66666666667
GLOBAL,SDSBTNXX01,2036,67291.66666666667
GLOBAL,SDSBTNXX01,2037,67291.66666666667
GLOBAL,SDSBTNXX01,2038,67291.66666666667
GLOBAL,SDSBTNXX01,2039,67291.66666666667
GLOBAL,SDSBTNXX01,2040,67291.66666666667
GLOBAL,SDSBTNXX01,2041,67291.66666666667
GLOBAL,SDSBTNXX01,2042,67291.66666666667
GLOBAL,SDSBTNXX01,2043,67291.66666666667
GLOBAL,SDSBTNXX01,2044,67291.66666666667
GLOBAL,SDSBTNXX01,2045,67291.66666666667
GLOBAL,SDSBTNXX01,2046,67291.66666666667
GLOBAL,SDSBTNXX01,2047,67291.66666666667
GLOBAL,SDSBTNXX01,2048,67291.66666666667
GLOBAL,SDSBTNXX01,2049,67291.66666666667
GLOBAL,SDSBTNXX01,2050,67291.66666666667
GLOBAL,SDSINDEA01,2021,67291.66666666667
GLOBAL,SDSINDEA01,2022,67291.66666666667
GLOBAL,SDSINDEA01,2023,67291.66666666667
GLOBAL,SDSINDEA01,2024,67291.66666666667
GLOBAL,SDSINDEA01,2025,67291.66666666667
GLOBAL,SDSINDEA01,2026,67291.66666666667
GLOBAL,SDSINDEA01,2027,67291.66666666667
GLOBAL,SDSINDEA01,2028,67291.66666666667
GLOBAL,SDSINDEA01,2029,67291.66666666667
GLOBAL,SDSINDEA01,2030,67291.66666666667
GLOBAL,SDSINDEA01,2031,67291.66666666667
GLOBAL,SDSINDEA01,2032,67291.66666666667
GLOBAL,SDSINDEA01,2033,67291.66666666667
GLOBAL,SDSINDEA01,2034,67291.66666666667
GLOBAL,SDSINDEA01,2035,67291.66666666667
GLOBAL,SDSINDEA01,2036,67291.66666666667
GLOBAL,SDSINDEA01,2037,67291.66666666667
GLOBAL,SDSINDEA01,2038,67291.66666666667
GLOBAL,SDSINDEA01,2039,67291.66666666667
GLOBAL,SDSINDEA01,2040,67291.66666666667
GLOBAL,SDSINDEA01,2041,67291.66666666667
GLOBAL,SDSINDEA01,2042,67291.66666666667
GLOBAL,SDSINDEA01,2043,67291.66666666667
GLOBAL,SDSINDEA01,2044,67291.66666666667
GLOBAL,SDSINDEA01,2045,67291.66666666667
GLOBAL,SDSINDEA01,2046,67291.66666666667
GLOBAL,SDSINDEA01,2047,67291.66666666667
GLOBAL,SDSINDEA01,2048,67291.66666666667
GLOBAL,SDSINDEA01,2049,67291.66666666667
GLOBAL,SDSINDEA01,2050,67291.66666666667
GLOBAL,SDSINDNE01,2021,67291.66666666667
GLOBAL,SDSINDNE01,2022,67291.66666666667
GLOBAL,SDSINDNE01,2023,67291.66666666667
GLOBAL,SDSINDNE01,2024,67291.66666666667
GLOBAL,SDSINDNE01,2025,67291.66666666667
GLOBAL,SDSINDNE01,2026,67291.66666666667
GLOBAL,SDSINDNE01,2027,67291.66666666667
GLOBAL,SDSINDNE01,2028,67291.66666666667
GLOBAL,SDSINDNE01,2029,67291.66666666667
GLOBAL,SDSINDNE01,2030,67291.66666666667
GLOBAL,SDSINDNE01,2031,67291.66666666667
GLOBAL,SDSINDNE01,2032,67291.66666666667
GLOBAL,SDSINDNE01,2033,67291.66666666667
GLOBAL,SDSINDNE01,2034,67291.66666666667
GLOBAL,SDSINDNE01,2035,67291.66666666667
GLOBAL,SDSINDNE01,2036,67291.66666666667
GLOBAL,SDSINDNE01,2037,67291.66666666667
GLOBAL,SDSINDNE01,2038,67291.66666666667
GLOBAL,SDSINDNE01,2039,67291.66666666667
GLOBAL,SDSINDNE01,2040,67291.66666666667
GLOBAL,SDSINDNE01,2041,67291.66666666667
GLOBAL,SDSINDNE01,2042,67291.66666666667
GLOBAL,SDSINDNE01,2043,67291.66666666667
GLOBAL,SDSINDNE01,2044,67291.66666666667
GLOBAL,SDSINDNE01,2045,67291.66666666667
GLOBAL,SDSINDNE01,2046,67291.66666666667
GLOBAL,SDSINDNE01,2047,67291.66666666667
GLOBAL,SDSINDNE01,2048,67291.66666666667
GLOBAL,SDSINDNE01,2049,67291.66666666667
GLOBAL,SDSINDNE01,2050,67291.66666666667
GLOBAL,SDSINDNO01,2021,67291.66666666667
GLOBAL,SDSINDNO01,2022,67291.66666666667
GLOBAL,SDSINDNO01,2023,67291.66666666667
GLOBAL,SDSINDNO01,2024,67291.66666666667
GLOBAL,SDSINDNO01,2025,67291.66666666667
GLOBAL,SDSINDNO01,2026,67291.66666666667
GLOBAL,SDSINDNO01,2027,67291.66666666667
GLOBAL,SDSINDNO01,2028,67291.66666666667
GLOBAL,SDSINDNO01,2029,67291.66666666667
GLOBAL,SDSINDNO01,2030,67291.66666666667
GLOBAL,SDSINDNO01,2031,67291.66666666667
GLOBAL,SDSINDNO01,2032,67291.66666666667
GLOBAL,SDSINDNO01,2033,67291.66666666667
GLOBAL,SDSINDNO01,2034,67291.66666666667
GLOBAL,SDSINDNO01,2035,67291.66666666667
GLOBAL,SDSINDNO01,2036,67291.66666666667
GLOBAL,SDSINDNO01,2037,67291.66666666667
GLOBAL,SDSINDNO01,2038,67291.66666666667
GLOBAL,SDSINDNO01,2039,67291.66666666667
GLOBAL,SDSINDNO01,2040,67291.66666666667
GLOBAL,SDSINDNO01,2041,67291.66666666667
GLOBAL,SDSINDNO01,2042,67291.66666666667
GLOBAL,SDSINDNO01,2043,67291.66666666667
GLOBAL,SDSINDNO01,2044,67291.66666666667
GLOBAL,SDSINDNO01,2045,67291.66666666667
GLOBAL,SDSINDNO01,2046,67291.66666666667
GLOBAL,SDSINDNO01,2047,67291.66666666667
GLOBAL,SDSINDNO01,2048,67291.66666666667
GLOBAL,SDSINDNO01,2049,67291.66666666667
GLOBAL,SDSINDNO01,2050,67291.66666666667
GLOBAL,SDSINDSO01,2021,67291.66666666667
GLOBAL,SDSINDSO01,2022,67291.66666666667
GLOBAL,SDSINDSO01,2023,67291.66666666667
GLOBAL,SDSINDSO01,2024,67291.66666666667
GLOBAL,SDSINDSO01,2025,67291.66666666667
GLOBAL,SDSINDSO01,2026,67291.66666666667
GLOBAL,SDSINDSO01,2027,67291.66666666667
GLOBAL,SDSINDSO01,2028,67291.66666666667
GLOBAL,SDSINDSO01,2029,67291.66666666667
GLOBAL,SDSINDSO01,2030,67291.66666666667
GLOBAL,SDSINDSO01,2031,67291.66666666667
GLOBAL,SDSINDSO01,2032,67291.66666666667
GLOBAL,SDSINDSO01,2033,67291.66666666667
GLOBAL,SDSINDSO01,2034,67291.66666666667
GLOBAL,SDSINDSO01,2035,67291.66666666667
GLOBAL,SDSINDSO01,2036,67291.66666666667
GLOBAL,SDSINDSO01,2037,67291.66666666667
GLOBAL,SDSINDSO01,2038,67291.66666666667
GLOBAL,SDSINDSO01,2039,67291.66666666667
GLOBAL,SDSINDSO01,2040,67291.66666666667
GLOBAL,SDSINDSO01,2041,67291.66666666667
GLOBAL,SDSINDSO01,2042,67291.66666666667
GLOBAL,SDSINDSO01,2043,67291.66666666667
GLOBAL,SDSINDSO01,2044,67291.66666666667
GLOBAL,SDSINDSO01,2045,67291.66666666667
GLOBAL,SDSINDSO01,2046,67291.66666666667
GLOBAL,SDSINDSO01,2047,67291.66666666667
GLOBAL,SDSINDSO01,2048,67291.66666666667
GLOBAL,SDSINDSO01,2049,67291.66666666667
GLOBAL,SDSINDSO01,2050,67291.66666666667
GLOBAL,SDSINDWE01,2021,62500.0
GLOBAL,SDSINDWE01,2022,62500.0
GLOBAL,SDSINDWE01,2023,62500.0
GLOBAL,SDSINDWE01,2024,62500.0
GLOBAL,SDSINDWE01,2025,62500.0
GLOBAL,SDSINDWE01,2026,62500.0
GLOBAL,SDSINDWE01,2027,62500.0
GLOBAL,SDSINDWE01,2028,62500.0
GLOBAL,SDSINDWE01,2029,62500.0
GLOBAL,SDSINDWE01,2030,62500.0
GLOBAL,SDSINDWE01,2031,62500.0
GLOBAL,SDSINDWE01,2032,62500.0
GLOBAL,SDSINDWE01,2033,62500.0
GLOBAL,SDSINDWE01,2034,62500.0
GLOBAL,SDSINDWE01,2035,62500.0
GLOBAL,SDSINDWE01,2036,62500.0
GLOBAL,SDSINDWE01,2037,62500.0
GLOBAL,SDSINDWE01,2038,62500.0
GLOBAL,SDSINDWE01,2039,62500.0
GLOBAL,SDSINDWE01,2040,62500.0
GLOBAL,SDSINDWE01,2041,62500.0
GLOBAL,SDSINDWE01,2042,62500.0
GLOBAL,SDSINDWE01,2043,62500.0
GLOBAL,SDSINDWE01,2044,62500.0
GLOBAL,SDSINDWE01,2045,62500.0
GLOBAL,SDSINDWE01,2046,62500.0
GLOBAL,SDSINDWE01,2047,62500.0
GLOBAL,SDSINDWE01,2048,62500.0
GLOBAL,SDSINDWE01,2049,62500.0
GLOBAL,SDSINDWE01,2050,62500.0
GLOBAL,LDSBTNXX01,2021,52694.444444444445
GLOBAL,LDSBTNXX01,2022,52694.444444444445
GLOBAL,LDSBTNXX01,2023,52694.444444444445
GLOBAL,LDSBTNXX01,2024,52694.444444444445
GLOBAL,LDSBTNXX01,2025,52694.444444444445
GLOBAL,LDSBTNXX01,2026,52694.444444444445
GLOBAL,LDSBTNXX01,2027,52694.444444444445
GLOBAL,LDSBTNXX01,2028,52694.444444444445
GLOBAL,LDSBTNXX01,2029,52694.444444444445
GLOBAL,LDSBTNXX01,2030,52694.444444444445
GLOBAL,LDSBTNXX01,2031,52694.444444444445
